S.No,Crop,Dist_id,District,Year,Season,Season_yield,Total
244,groundnut,7,JOGULAMBA,2017-2018,rabi,2834,2363
245,groundnut,30,WANAPARTHY,2017-2018,rabi,2159,2141
246,groundnut,18,NAGARKURNOOL,2017-2018,rabi,2317,2300
247,groundnut,19,NALGONDA,2017-2018,rabi,1993,1932
248,groundnut,28,SURYAPET,2017-2018,rabi,2086,1928
249,groundnut,10,KHAMMAM,2017-2018,rabi,2122,2126
250,maize,1,ADILABAD,2017-2018,kharif,3450,9282
251,maize,11,KOMARAM BHEEM,2017-2018,kharif,3450,4558
252,maize,13,MANCHERIAL,2017-2018,kharif,3450,3965
253,maize,21,NIRMAL,2017-2018,kharif,5723,7753
254,maize,22,NIZAMABAD,2017-2018,kharif,5030,5464
255,maize,4,JAGTIAL,2017-2018,kharif,4461,4474
256,maize,23,PEDDAPALLI,2017-2018,kharif,6916,8924
257,maize,6,JAYASHANKAR,2017-2018,kharif,7004,9023
258,maize,2,BHADRADRI,2017-2018,kharif,4125,5478
259,maize,16,MAHABUBABAD,2017-2018,kharif,5332,5717
260,maize,31,WARANGAL RURAL,2017-2018,kharif,6967,7716
261,maize,32,WARANGAL URBAN,2017-2018,kharif,5533,6851
262,maize,9,KARIMNAGAR,2017-2018,kharif,4677,6026
263,maize,24,RAJANNA,2017-2018,kharif,2852,3122
264,maize,8,KAMAREDDY,2017-2018,kharif,5352,5300
265,maize,26,SANGAREDDY,2017-2018,kharif,3549,3610
266,maize,14,MEDAK,2017-2018,kharif,3707,3929
267,maize,27,SIDDIPET,2017-2018,kharif,2883,3304
268,maize,5,JANGAON,2017-2018,kharif,4880,5068
269,maize,33,YADADRI,2017-2018,kharif,2946,3068
270,maize,15,MEDCHAL MALKAJG,2017-2018,kharif,3450,3815
271,maize,3,HYDERABAD,2017-2018,kharif,0,0
272,maize,25,RANGAREDDY,2017-2018,kharif,2157,2238
273,maize,29,VIKARABAD,2017-2018,kharif,3174,3249
274,maize,12,MAHABUBNAGAR,2017-2018,kharif,1449,1474
275,maize,7,JOGULAMBA,2017-2018,kharif,5640,5263
276,maize,30,WANAPARTHY,2017-2018,kharif,3171,3199
277,maize,18,NAGARKURNOOL,2017-2018,kharif,2012,2052
278,maize,19,NALGONDA,2017-2018,kharif,3450,4755
279,maize,28,SURYAPET,2017-2018,kharif,3450,6339
280,maize,10,KHAMMAM,2017-2018,kharif,4823,6397
281,maize,1,ADILABAD,2017-2018,rabi,10982,9282
282,maize,11,KOMARAM BHEEM,2017-2018,rabi,6901,4558
283,maize,13,MANCHERIAL,2017-2018,rabi,4481,3965
284,maize,21,NIRMAL,2017-2018,rabi,8665,7753
285,maize,22,NIZAMABAD,2017-2018,rabi,6930,5464
286,maize,4,JAGTIAL,2017-2018,rabi,4503,4474
287,maize,23,PEDDAPALLI,2017-2018,rabi,9713,8924
288,maize,6,JAYASHANKAR,2017-2018,rabi,9749,9023
289,maize,2,BHADRADRI,2017-2018,rabi,7452,5478
290,maize,16,MAHABUBABAD,2017-2018,rabi,6672,5717
291,maize,31,WARANGAL RURAL,2017-2018,rabi,8340,7716
292,maize,32,WARANGAL URBAN,2017-2018,rabi,7568,6851
293,maize,9,KARIMNAGAR,2017-2018,rabi,7372,6026
294,maize,24,RAJANNA,2017-2018,rabi,4399,3122
295,maize,8,KAMAREDDY,2017-2018,rabi,5222,5300
296,maize,26,SANGAREDDY,2017-2018,rabi,4032,3610
297,maize,14,MEDAK,2017-2018,rabi,4621,3929
298,maize,27,SIDDIPET,2017-2018,rabi,6240,3304
299,maize,5,JANGAON,2017-2018,rabi,5411,5068
300,maize,33,YADADRI,2017-2018,rabi,6901,3068
301,maize,15,MEDCHAL MALKAJG,2017-2018,rabi,6901,3815
302,maize,3,HYDERABAD,2017-2018,rabi,0,0
303,maize,25,RANGAREDDY,2017-2018,rabi,4238,2238
304,maize,29,VIKARABAD,2017-2018,rabi,6901,3249
305,maize,12,MAHABUBNAGAR,2017-2018,rabi,6901,1474
306,maize,7,JOGULAMBA,2017-2018,rabi,3990,5263
307,maize,30,WANAPARTHY,2017-2018,rabi,6901,3199
308,maize,18,NAGARKURNOOL,2017-2018,rabi,6901,2052
309,maize,19,NALGONDA,2017-2018,rabi,6901,4755
310,maize,28,SURYAPET,2017-2018,rabi,6901,6339
311,maize,10,KHAMMAM,2017-2018,rabi,6708,6397
312,bengal gram,1,ADILABAD,2017-2018,kharif,0,1742
313,bengal gram,11,KOMARAM BHEEM,2017-2018,kharif,0,1240
314,bengal gram,13,MANCHERIAL,2017-2018,kharif,0,1516
315,bengal gram,21,NIRMAL,2017-2018,kharif,0,1072
316,bengal gram,22,NIZAMABAD,2017-2018,kharif,0,1675
317,bengal gram,4,JAGTIAL,2017-2018,kharif,0,1516
318,bengal gram,23,PEDDAPALLI,2017-2018,kharif,0,1516
319,bengal gram,6,JAYASHANKAR,2017-2018,kharif,0,1516
320,bengal gram,2,BHADRADRI,2017-2018,kharif,0,1516
321,bengal gram,16,MAHABUBABAD,2017-2018,kharif,0,1516
322,bengal gram,31,WARANGAL RURAL,2017-2018,kharif,0,1516
323,bengal gram,32,WARANGAL URBAN,2017-2018,kharif,0,1516
324,bengal gram,9,KARIMNAGAR,2017-2018,kharif,0,1516
325,bengal gram,24,RAJANNA,2017-2018,kharif,0,1516
326,bengal gram,8,KAMAREDDY,2017-2018,kharif,0,1687
327,bengal gram,26,SANGAREDDY,2017-2018,kharif,0,1366
328,bengal gram,14,MEDAK,2017-2018,kharif,0,1341
329,bengal gram,27,SIDDIPET,2017-2018,kharif,0,1315
330,bengal gram,5,JANGAON,2017-2018,kharif,0,1516
331,bengal gram,33,YADADRI,2017-2018,kharif,0,1516
332,bengal gram,15,MEDCHAL MALKAJG,2017-2018,kharif,0,1516
333,bengal gram,3,HYDERABAD,2017-2018,kharif,0,0
334,bengal gram,25,RANGAREDDY,2017-2018,kharif,1403,1403
335,bengal gram,29,VIKARABAD,2017-2018,kharif,0,1440
336,bengal gram,12,MAHABUBNAGAR,2017-2018,kharif,0,1516
337,bengal gram,7,JOGULAMBA,2017-2018,kharif,0,1312
338,bengal gram,30,WANAPARTHY,2017-2018,kharif,0,2132
339,bengal gram,18,NAGARKURNOOL,2017-2018,kharif,0,1516
340,bengal gram,19,NALGONDA,2017-2018,kharif,0,1516
341,bengal gram,28,SURYAPET,2017-2018,kharif,0,1516
342,bengal gram,10,KHAMMAM,2017-2018,kharif,0,1516
343,bengal gram,1,ADILABAD,2017-2018,rabi,1742,1742
344,bengal gram,11,KOMARAM BHEEM,2017-2018,rabi,1240,1240
345,bengal gram,13,MANCHERIAL,2017-2018,rabi,1516,1516
346,bengal gram,21,NIRMAL,2017-2018,rabi,1072,1072
347,bengal gram,22,NIZAMABAD,2017-2018,rabi,1675,1675
348,bengal gram,4,JAGTIAL,2017-2018,rabi,1516,1516
349,bengal gram,23,PEDDAPALLI,2017-2018,rabi,1516,1516
350,bengal gram,6,JAYASHANKAR,2017-2018,rabi,1516,1516
351,bengal gram,2,BHADRADRI,2017-2018,rabi,1516,1516
352,bengal gram,16,MAHABUBABAD,2017-2018,rabi,1516,1516
353,bengal gram,31,WARANGAL RURAL,2017-2018,rabi,1516,1516
354,bengal gram,32,WARANGAL URBAN,2017-2018,rabi,1516,1516
355,bengal gram,9,KARIMNAGAR,2017-2018,rabi,1516,1516
356,bengal gram,24,RAJANNA,2017-2018,rabi,1516,1516
357,bengal gram,8,KAMAREDDY,2017-2018,rabi,1687,1687
358,bengal gram,26,SANGAREDDY,2017-2018,rabi,1366,1366
359,bengal gram,14,MEDAK,2017-2018,rabi,1341,1341
360,bengal gram,27,SIDDIPET,2017-2018,rabi,1315,1315
361,bengal gram,5,JANGAON,2017-2018,rabi,1516,1516
362,bengal gram,33,YADADRI,2017-2018,rabi,1516,1516
363,bengal gram,15,MEDCHAL MALKAJG,2017-2018,rabi,1516,1516
364,bengal gram,3,HYDERABAD,2017-2018,rabi,0,0
365,bengal gram,25,RANGAREDDY,2017-2018,rabi,1403,1403
366,bengal gram,29,VIKARABAD,2017-2018,rabi,1440,1440
367,bengal gram,12,MAHABUBNAGAR,2017-2018,rabi,1516,1516
